MUNICIPIOS,entre 0 y 5,entre 6 y 11,entre 12 y 17
BUENAVENTURA,"8,640","22,649","25,594"
CALI,"6,234","15,203","17,274"
TULUA,929,"2,530","3,225"
JAMUNDI,462,"1,124","1,489"
PALMIRA,411,"1,196","1,503"
GUADALAJARA DE BUGA,361,827,991
DAGUA,322,862,"1,102"
YUMBO,262,662,828
FLORIDA,176,524,692
BUGALAGRANDE,173,540,655
PRADERA,237,587,744
CARTAGO,181,454,601
CANDELARIA,215,514,602
RIOFRIO,161,407,466
ZARZAL,82,235,367
TRUJILLO,111,352,419
SEVILLA,112,279,443
EL CERRITO,132,296,353
SAN PEDRO,140,320,342
ROLDANILLO,75,208,285
CAICEDONIA,80,193,257
CALIMA,110,241,286
GUACARI,89,213,221
RESTREPO,80,201,266
LA UNION,66,192,203
ALCALA,88,153,242
TORO,37,85,146
GINEBRA,53,148,166
YOTOCO,44,86,126
EL DOVIO,31,107,138
OBANDO,45,102,105
ANSERMANUEVO,60,117,130
BOLIVAR,27,89,121
ARGELIA,38,107,101
ANDALUCIA,14,60,83
LA CUMBRE,21,70,99
EL CAIRO,27,56,87
EL AGUILA,30,65,87
LA VICTORIA,25,55,65
VERSALLES,11,57,51
VIJES,8,54,58
ULLOA,11,31,39
