---,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ene,17,18,14,31,10,29,33,25,19,10,17,12,10
Feb,19,31,24,11,16,19,13,16,22,8,22,7,15
Mar,17,23,14,19,16,31,21,21,18,14,20,12,8
Abr,14,18,16,8,16,18,20,23,13,11,9,7,13
May,25,15,23,10,20,25,33,25,16,13,12,11,14
Jun,25,32,26,21,21,18,29,22,16,13,30,11,10
Jul,20,15,22,18,15,20,17,21,12,11,16,16,11
Ago,14,17,28,20,9,26,32,42,15,12,19,12,11
Sep,21,21,25,13,21,20,37,26,19,13,17,12,14
Oct,20,16,20,16,23,32,28,21,8,10,12,14,20
Nov,16,12,13,14,20,21,29,19,19,13,22,14,8
Dic,25,24,27,14,22,27,25,27,10,19,18,21,20
Total Anual,233,242,252,195,209,286,317,288,187,147,214,149,154
